strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.880666667,-0.006,0.888,Bhattacharyya,Wind R
Cumulative,,AutoEncoder,0.926,0.05,0.605,Bhattacharyya,Wind R
Cumulative,,OneClassSVM(gamma='auto'),0.742666667,-0.026,0.533,Bhattacharyya,Wind R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.701333333,-0.288,0.513,Bhattacharyya,Wind R
Naive,,IsolationForest(random_state=0),0.729333333,-0.014,0.644,Bhattacharyya,Wind R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.898666667,0.005,0.879,Bhattacharyya,Wind R
Naive,,AutoEncoder,0.832,-0.145,0.661,Bhattacharyya,Wind R
Naive,,OneClassSVM(gamma='auto'),0.644,-0.256,0.496,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.942666667,0.08,0.588,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.830666667,0.1,0.639,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.902666667,0.019,0.895,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,AutoEncoder,0.9,0.018,0.655,Bhattacharyya,Wind R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.778,-0.036,0.536,Bhattacharyya,Wind R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.959090909,0.053555556,0.617111111,Canberra,Energy A
Cumulative,,IsolationForest(random_state=0),0.753272727,-0.093777778,0.571333333,Canberra,Energy A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.869454545,-0.040444444,0.832444444,Canberra,Energy A
Cumulative,,AutoEncoder,0.915818182,-0.018666667,0.66,Canberra,Energy A
Cumulative,,OneClassSVM(gamma='auto'),0.724727273,-0.110444444,0.608444444,Canberra,Energy A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.674363636,-0.326222222,0.680444444,Canberra,Energy A
Naive,,IsolationForest(random_state=0),0.619454545,-0.319333333,0.561333333,Canberra,Energy A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.902,-0.077111111,0.877777778,Canberra,Energy A
Naive,,AutoEncoder,0.715636364,-0.296222222,0.743333333,Canberra,Energy A
Naive,,OneClassSVM(gamma='auto'),0.577272727,-0.398888889,0.487777778,Canberra,Energy A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.946909091,0.036666667,0.611555556,Canberra,Energy A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.736,-0.151333333,0.566,Canberra,Energy A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.922181818,-0.039555556,0.900888889,Canberra,Energy A
Replay,budget=0.2_compact_True,AutoEncoder,0.901636364,-0.007111111,0.629555556,Canberra,Energy A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.765090909,-0.126444444,0.652888889,Canberra,Energy A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.941090909,0.058,0.777111111,Canberra,Energy C
Cumulative,,IsolationForest(random_state=0),0.814181818,-0.017777778,0.635777778,Canberra,Energy C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.887272727,-0.010888889,0.890222222,Canberra,Energy C
Cumulative,,AutoEncoder,0.890727273,0.040222222,0.828888889,Canberra,Energy C
Cumulative,,OneClassSVM(gamma='auto'),0.710181818,-0.061333333,0.636222222,Canberra,Energy C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.706727273,-0.252222222,0.787555556,Canberra,Energy C
Naive,,IsolationForest(random_state=0),0.614545455,-0.228444444,0.613777778,Canberra,Energy C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.852545455,-0.059555556,0.911777778,Canberra,Energy C
Naive,,AutoEncoder,0.756545455,-0.162888889,0.834666667,Canberra,Energy C
Naive,,OneClassSVM(gamma='auto'),0.575090909,-0.295555556,0.509555556,Canberra,Energy C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.928,0.057555556,0.773111111,Canberra,Energy C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.803454545,-0.038888889,0.643777778,Canberra,Energy C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.898909091,-0.003333333,0.936222222,Canberra,Energy C
Replay,budget=0.2_compact_True,AutoEncoder,0.896181818,0.038666667,0.832,Canberra,Energy C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.757636364,-0.073777778,0.705333333,Canberra,Energy C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.942545455,0.094666667,0.639777778,Canberra,Energy R
Cumulative,,IsolationForest(random_state=0),0.777272727,-0.040888889,0.522888889,Canberra,Energy R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.884545455,-0.010222222,0.828888889,Canberra,Energy R
Cumulative,,AutoEncoder,0.913636364,0.047777778,0.637777778,Canberra,Energy R
Cumulative,,OneClassSVM(gamma='auto'),0.737636364,-0.086222222,0.597111111,Canberra,Energy R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.718727273,-0.242,0.652666667,Canberra,Energy R
Naive,,IsolationForest(random_state=0),0.648181818,-0.246,0.528222222,Canberra,Energy R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.914,-0.030222222,0.870666667,Canberra,Energy R
Naive,,AutoEncoder,0.760545455,-0.181111111,0.717777778,Canberra,Energy R
Naive,,OneClassSVM(gamma='auto'),0.579272727,-0.371777778,0.484888889,Canberra,Energy R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.934363636,0.086666667,0.619333333,Canberra,Energy R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.770909091,-0.069111111,0.508444444,Canberra,Energy R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.928909091,-0.025111111,0.908222222,Canberra,Energy R
Replay,budget=0.2_compact_True,AutoEncoder,0.919636364,0.027111111,0.662666667,Canberra,Energy R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.787454545,-0.079777778,0.636,Canberra,Energy R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.781714286,0.234578947,0.239105263,Canberra,NSLKDD A
Cumulative,,IsolationForest(random_state=0),0.939809524,2.92E-18,0.905368421,Canberra,NSLKDD A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.913619048,0.050789474,0.826684211,Canberra,NSLKDD A
Cumulative,,AutoEncoder,0.945190476,0.050157895,0.804368421,Canberra,NSLKDD A
