strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.8536363636363636,0.174,0.2275555555555555,Bhattacharyya,UNSW C
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.5165454545454545,0.1208888888888888,0.2537777777777778,Bhattacharyya,UNSW C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.424,0.0533333333333333,0.2675555555555555,Bhattacharyya,UNSW C
Cumulative,,AutoEncoder,0.5925454545454546,0.0982222222222222,0.2662222222222222,Bhattacharyya,UNSW C
Cumulative,,OneClassSVM(gamma='auto'),0.5539999999999999,0.0468888888888889,0.55,Bhattacharyya,UNSW C
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.3203636363636364,-0.0757777777777777,0.344,Bhattacharyya,UNSW C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7316363636363635,-0.068,0.3884444444444445,Bhattacharyya,UNSW C
Naive,,IsolationForest(random_state=0),0.5258181818181819,-0.1231111111111111,0.4702222222222222,Bhattacharyya,UNSW C
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.677090909090909,-0.1675555555555555,0.3222222222222222,Bhattacharyya,UNSW C
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.5610909090909091,0.0106666666666666,0.4279999999999999,Bhattacharyya,UNSW C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.2123636363636363,-0.0613333333333333,0.2244444444444444,Bhattacharyya,UNSW C
Naive,,AutoEncoder,0.6810909090909091,0.0388888888888888,0.4493333333333333,Bhattacharyya,UNSW C
Naive,,OneClassSVM(gamma='auto'),0.5901818181818183,-0.0648888888888888,0.4682222222222222,Bhattacharyya,UNSW C
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.4194545454545454,-0.1051111111111111,0.3148888888888889,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.7567272727272727,0.2588888888888889,0.1486666666666666,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.5361818181818182,0.0048888888888888,0.3713333333333333,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.8070909090909092,0.1697777777777777,0.1708888888888889,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.5398181818181819,0.0955555555555555,0.2971111111111111,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.2814545454545454,0.0213333333333333,0.2182222222222222,Bhattacharyya,UNSW C
Replay,budget=0.2_compact_True,AutoEncoder,0.6085454545454545,0.0059999999999999,0.2824444444444444,Bhattacharyya,UNSW C
